Arabic,English
محدود,limited
مدعوم,powered
الحلول,solutions
وسائل,means
مخرج,director
يوميًا,daily
شاطئ,beach
ماضي,past
طبيعي,natural
سواء,whether
حق,due
الالكترونيات,electronics
خمسة,five
على,upon
فترة,period
تخطيط,planning
قاعدة البيانات,database
يقول,says
رسمي,official
طقس,weather
مار,mar
أرض,land
متوسط,average
منتهي,done
اِصطِلاحِيّ,technical
نافذة,window
فرنسا,france
محترف,pro
منطقة,region
جزيرة,island
سِجِلّ,record
مباشر,direct
مايكروسوفت,microsoft
مؤتمر,conference
بيئة,environment
السجلات,records
شارع,st
يصرف,district
تقويم,calendar
التكاليف,costs
أسلوب,style
أمام,front
إفادة,statement
تحديث,update
أجزاء,parts
أغسطس,aug
أبدًا,ever
التنزيلات,downloads
مبكر,early
أميال,miles
صوت,sound
الموارد,resource
حاضر,present
التطبيقات,applications
أيضاً,either
منذ,ago
وثيقة,document
كلمة,word
أعمال,works
مادة,material
فاتورة,bill
أبريل,apr
مكتوب,written
يتحدث,talk
الفيدرالية,federal
استضافة,hosting
قواعد,rules
أخير,final
بالغ,adult
تذاكر,tickets
شيء,thing
مركز,centre
متطلبات,requirements
عبر,via
رخيص,cheap
ناقص,nude
أطفال,kids
تمويل,finance
حقيقي,TRUE
دقائق,minutes
آخر,else
علامة,mark
ثالث,third
صخر,rock
الهدايا,gifts
أوروبا,europe
قراءة,reading
المواضيع,topics
سيء,bad
فردي,individual
نصائح,tips
زائد,plus
آلي,auto
غطاء,cover
عادة,usually
يحرر,edit
معاً,together
مقاطع فيديو,videos
النسبة المئوية,percent
سريع,fast
وظيفة,function
حقيقة,fact
وحدة,unit
الحصول,getting
عالمي,global
التكنولوجيا,tech
يقابل,meet
بعيد,far
اقتصادي,economic
en,en
لاعب,player
مشاريع,projects
كلمات,lyrics
غالباً,often
يشترك,subscribe
يُقدِّم,submit
ألمانيا,germany
كمية,amount
يشاهد,watch
متضمن,included
يشعر,feel
رغم ذلك,though
بنك,bank
مخاطرة,risk
شكرًا,thanks
كل شئ,everything
الصفقات,deals
متنوع,various
كلمات,words
لينكس,linux
يوليو,jul
إنتاج,production
تجاري,commercial
جيمس,james
وزن,weight
بلدة,town
قلب,heart
دعاية,advertising
تلقى,received
يختار,choose
علاج,treatment
النشرة الإخبارية,newsletter
أرشيف,archives
نقاط,points
معرفة,knowledge
مجلة,magazine
خطأ,error
آلة تصوير,camera
يونيو,jun
بنت,girl
حالياً,currently
بناء,construction
ألعاب,toys
مسجل,registered
واضح,clear
الجولف,golf
يستلم,receive
اِختِصاص,domain
طُرق,methods
الفصل,chapter
يصنع,makes
حماية,protection
السياسات,policies
يُقرض,loan
واسع,wide
جمال,beauty
مدير,manager
الهند,india
موضع,position
مأخوذ,taken
نوع,sort
القوائم,listings
نماذج,models
مايكل,michael
معروف,known
نصف,half
حالات,cases
خطوة,step
هندسة,engineering
فلوريدا,florida
بسيط,simple
سريع,quick
لا أحد,none
لاسلكي,wireless
رخصة,license
بول,paul
جمعة,friday
بحيرة,lake
جميع,whole
سنوي,annual
نُشرت,published
لاحقاً,later
أساسي,basic
سوني,sony
عروض,shows
شركة كبرى,corporate
جوجل,google
كنيسة,church
طريقة,method
شراء,purchase
عملاء,customers
نشيط,active
إجابة,response
يمارس,practice
الأجهزة,hardware
شكل,figure
مواد,materials
نار,fire
عطلة,holiday
محادثة,chat
كافٍ,enough
مصمم,designed
على امتداد,along
ضمن,among
موت,death
كتابة,writing
سرعة,speed
HTML,html
بلدان,countries
خسارة,loss
وجه,face
ماركة,brand
تخفيض,discount
أعلى,higher
التأثيرات,effects
مخلوق,created
يتذكر,remember
المعايير,standards
زيت,oil
قليل,bit
أصفر,yellow
سياسي,political
يزيد,increase
أعلن,advertise
المملكة,kingdom
قاعدة,base
قريب,near
بيئي,environmental
معتقد,thought
أشياء,stuff
فرنسي,french
تخزين,storage
أوه,oh
اليابان,japan
عمل,doing
القروض,loans
أحذية,shoes
دخول,entry
